CatID,CatName,CatPersonal,Cat
C0001,Abyssinian,"มีรูปร่างปราดเปรียว สง่างาม หูใหญ่แหลม และมีสีขนที่เป็นเอกลักษณ์เรียกว่า ""Ticked Coat"" (ขนหนึ่งเส้นมีหลายสีสลับกัน) ฉลาดมากและซนเหมือนลิง ชอบปีนป่าย",เชื่อกันว่าเป็นหนึ่งในสายพันธุ์ที่เก่าแก่ที่สุดในโลก โดยมีรูปร่างคล้ายแมวในภาพวาดอียิปต์โบราณ แม้ชื่อจะมาจากประเทศอะบิสสิเนีย (เอธิโอเปียในปัจจุบัน) แต่หลักฐานทางพันธุกรรมบ่งชี้ว่าต้นกำเนิดจริงๆ อาจมาจากแถบชายฝั่งมหาสมุทรอินเดีย
C0002,Bengal,"ลายจุด (Rosettes) เหมือนเสือดาว มีความคล่องตัวสูง พลังงานล้นเหลือ และที่แปลกกว่าแมวทั่วไปคือ ""ชอบเล่นน้ำ"" มาก",เกิดจากการผสมข้ามสายพันธุ์ระหว่าง แมวดาว (Asian Leopard Cat) กับแมวบ้าน เพื่อให้ได้แมวที่มีลักษณะเหมือนสัตว์ป่าแต่มีนิสัยเชื่องเหมือนแมวบ้าน เริ่มพัฒนาสายพันธุ์จริงจังในช่วงปี 1970-1980
C0003,Birman,"มีฉายาว่า ""แมวศักดิ์สิทธิ์แห่งพม่า"" จุดเด่นคือมีถุงเท้าสีขาวบริสุทธิ์ที่เท้าทั้ง 4 ข้าง ตาสีฟ้าใส และขนยาวนุ่มสลวย นิสัยสุภาพ อ่อนโยน",มีตำนานเล่าว่าเดิมทีเป็นแมวในวัดของพม่าที่คอยเฝ้าเทวรูปทองคำ เมื่อพระที่เป็นเจ้าของมรณภาพ แมวตัวนี้ก็ได้เปลี่ยนสีขนและสีตาตามพรของเทพธิดา แต่ในทางประวัติศาสตร์เริ่มเป็นที่รู้จักกว้างขวางเมื่อถูกนำเข้าไปยังฝรั่งเศสช่วงต้นศตวรรษที่ 20
C0004,Oriental,"หน้าแหลมเป็นรูปสามเหลี่ยม หูมีขนาดใหญ่มาก ร่างกายเพรียวบางและขายาว เป็นแมวที่ ""ช่างพูด"" และต้องการความสนใจจากเจ้าของตลอดเวลา",มีต้นกำเนิดมาจากสายพันธุ์วิเชียรมาศ (Siamese) แต่ถูกพัฒนาให้มีสีสันและลวดลายที่หลากหลายมากกว่า 300 แบบ โดยยังคงโครงสร้างปราดเปรียวแบบแมวตะวันออกเอาไว้
C0005,Siamese,"แต้มสีเข้ม 9 จุดบนตัว (หน้า, หู 2, เท้า 4, หาง, อวัยวะเพศ) และตาสีฟ้าสดใส เป็นแมวที่มีไอคิวสูงและจำชื่อตัวเองได้ดี",แมวไทยมงคลที่เป็นมรดกของโลก ในสมัยก่อนถือเป็นแมวชั้นสูงในราชสำนักไทย ก่อนจะถูกส่งไปเป็นของขวัญให้ทูตอังกฤษและอเมริกาในช่วงปลายศตวรรษที่ 19 จนกลายเป็นแมวยอดนิยมไปทั่วโลก
C0006,Somali,"คือ ""Abyssinian เวอร์ชั่นขนยาว"" มีหางฟูฟ่องเหมือนหางกระรอก นิสัยร่าเริง ขี้เล่น และฉลาด",เกิดจากการกลายพันธุ์ตามธรรมชาติของลูกแมว Abyssinian ที่มีขนยาวผิดปกติในครอก (Recessive Gene) ในช่วงแรกนักบราเดอร์ไม่ยอมรับ แต่ภายหลังความสวยงามของมันทำให้ถูกจัดตั้งเป็นสายพันธุ์ใหม่ในช่วงปี 1960
C0007,Sphynx,ไร้ขน (จริงๆ มีขนอ่อนบางๆ เหมือนลูกพีช) ผิวหนังยับย่น ขี้อ้อนมากเพราะต้องการความอบอุ่นจากตัวคน และไม่ต้องกังวลเรื่องขนร่วง,ไม่ได้มาจากอียิปต์ตามชื่อ แต่ต้นกำเนิดมาจากแคนาดาในปี 1966 เมื่อแมวบ้านตัวหนึ่งให้กำเนิดลูกที่ไม่มีขนเนื่องจากการกลายพันธุ์ทางพันธุกรรม
C0008,Toyger,"""ตุ๊กตาเสือโคร่ง"" มีลายพาดกลอนแนวตั้งที่ชัดเจนเหมือนเสือโคร่งมากที่สุด แต่มีนิสัยใจดีและเป็นมิตร",เป็นสายพันธุ์ที่เพิ่งถูกพัฒนาขึ้นไม่นาน (ช่วงปี 1980) โดยลูกสาวของผู้สร้างแมวเบงกอล เธอต้องการสร้างแมวที่หน้าตาเหมือนเสือป่าเพื่อสร้างความตระหนักในการอนุรักษ์เสือในธรรมชาติ
C0009,Scottish Fold,"""หูพับ"" อันเป็นเอกลักษณ์ (บางตัวหูตั้งก็มีนะ) หน้ากลม ตาโตเหมือนนกฮูก ชอบนั่งท่า ""Buddha Sitting"" หรือท่านั่งขัดสมาธิแบบคน","ต้นกำเนิดมาจากแมวโรงนาชื่อ ""Susie"" ในสกอตแลนด์เมื่อปี 1961 ซึ่งเกิดมามีหูพับผิดปกติจากการกลายพันธุ์ทางพันธุกรรม แล้วถูกนำมาพัฒนาสายพันธุ์ต่อ"
C0010,Maine Coon,"""ยักษ์ใหญ่ใจดี"" เป็นแมวบ้านที่มีขนาดตัวใหญ่ที่สุดในโลก ขนยาวฟู หางเป็นพวงเหมือนแรคคูน และมีแผงคอเหมือนสิงโต นิสัยสุภาพและฉลาดมาก",เป็นแมวสายพันธุ์พื้นเมืองของรัฐเมน สหรัฐอเมริกา มีตำนานเล่าขานว่ามันคือลูกผสมระหว่างแมวกับแรคคูน (ซึ่งในทางวิทยาศาสตร์เป็นไปไม่ได้) แต่จริงๆ พัฒนามาจากแมวขนยาวที่ติดมากับเรือสำเภาสมัยก่อน
C0011,Ragdoll,"""ตุ๊กตาผ้า"" ชื่อของมันมาจากนิสัยที่เวลาคนอุ้ม ตัวมันจะอ่อนระทวยเหมือนตุ๊กตาผ้า ตาสีฟ้าเข้ม ขนหนานุ่ม และตัวใหญ่พอๆ กับเมนคูน",ถูกพัฒนาขึ้นในแคลิฟอร์เนีย ช่วงปี 1960 โดย Ann Baker เธอคัดเลือกแมวที่มีนิสัยอ่อนโยนเป็นพิเศษมาผสมพันธุ์จนได้สายพันธุ์ที่เชื่องที่สุดสายพันธุ์หนึ่ง
C0012,Munchkin,"""แมวขาสั้น"" หรือแมวคอร์กี้แห่งโลกวิฬาร์ แม้ขาจะสั้นแต่กระโดดและวิ่งเร็วมาก ชอบยืนสองขาเหมือนตัวเมียร์แคตเพื่อมองรอบๆ",เกิดจากการกลายพันธุ์ตามธรรมชาติ (ขาที่สั้นเกิดจากยีนด้อย) ถูกพบครั้งแรกในรัฐลุยเซียนา สหรัฐอเมริกา เมื่อปี 1983 และกลายเป็นที่นิยมเพราะความน่ารักมุ้งมิ้ง
C0013,Russian Blue,"""แมวสีเงิน"" ขนสั้นหนาสีเทาอมฟ้าที่มีประกายเงิน (Silver tipped) ตาสีเขียวมรกตสดใส นิสัยค่อนข้างขี้อายและรักสันโดษ แต่ซื่อสัตย์กับเจ้าของมาก",เชื่อกันว่ามาจากเมืองท่า Arkhangelsk ในรัสเซีย และถูกนำเข้าสู่อังกฤษโดยกะลาสีเรือในช่วงศตวรรษที่ 19 เป็นหนึ่งในสายพันธุ์โปรดของสมเด็จพระราชินีนาถวิกตอเรีย
C0014,British Shorthair,"""อ้วนกลมสมบูรณ์"" มีแก้มยุ้ย โครงสร้างบึกบึน ขนหนาแน่นเหมือนพรม นิสัยนิ่งๆ สุขุม ไม่ค่อยทำลายข้าวของ (เป็นต้นแบบของแมว Cheshire ใน Alice in Wonderland)",เป็นสายพันธุ์ที่เก่าแก่ที่สุดของอังกฤษ พัฒนามาจากแมวที่ชาวโรมันนำเข้ามาเพื่อล่าหนู ก่อนจะถูกปรับปรุงสายพันธุ์ให้ดูสง่างามและนิ่งขึ้นในเวลาต่อมา
C0015,Persian,"""ราชีนีแห่งแมว"" หน้าบี้ จมูกหัก (Brachycephalic) ขนยาวหนาสองชั้นที่นุ่มเหมือนปุยเมฆ นิสัยนิ่งสงบที่สุดในบรรดาแมวทั้งหมด ชอบนั่งสวยๆ บนโซฟามากกว่าวิ่งเล่น",มีต้นกำเนิดจากเปอร์เซีย (อิหร่านในปัจจุบัน) ถูกนำเข้ายุโรปในช่วงศตวรรษที่ 17 และกลายเป็นสัญลักษณ์ของความหรูหรามาจนถึงทุกวันนี้
C0016,American Shorthair,"""แมวลายคลาสสิก"" ลายหินอ่อน (Classic Tabby) สีเงินตัดดำคือลายที่ฮิตที่สุด ร่างกายแข็งแรง กล้ามเนื้อแน่น นิสัยเป็นมิตร เข้ากับเด็กและสุนัขได้ดีมาก",บรรพบุรุษของมันคือแมวที่ติดมากับเรือ Mayflower พร้อมกับกลุ่มผู้แสวงบุญชาวอังกฤษที่เดินทางไปตั้งรกรากในอเมริกา เพื่อทำหน้าที่ล่าหนูบนเรือ
C0017,Norwegian Forest Cat,"""แมวนักรบไวกิ้ง"" ตัวใหญ่พอๆ กับเมนคูน แต่หน้าเป็นรูปสามเหลี่ยม มีขน ""แผงคอ"" และ ""กางเกงขน"" ที่ขาหลัง ขนชั้นนอกกันน้ำได้ดีเยี่ยม ชอบปีนต้นไม้เก่งมาก",เป็นแมวพื้นเมืองในตำนานของนอร์เวย์ มีเรื่องเล่าว่ามันเป็นแมวที่คอยลากรถเทียมม้าให้กับเทพธิดา Freyja ในตำนานเทพเจ้านอร์ส
C0018,Turkish Angora,"""ความพริ้วไหวแห่งตุรกี"" ขนยาวชั้นเดียวที่นุ่มลื่นเหมือนเส้นไหม หางฟูเป็นพวงสวยงาม มักพบตัวที่มีตาสองสี (Odd-eyed) นิสัยฉลาดหลักแหลมและรักอิสระ",เป็นสายพันธุ์โบราณจากภูมิภาคอังการาในตุรกี ถือเป็นสมบัติประจำชาติของตุรกี และเป็นบรรพบุรุษของแมวขนยาวหลายสายพันธุ์ในปัจจุบัน
C0019,Bombay,"""เสือดำตัวจิ๋ว"" ขนสั้นสีดำสนิทเงางามเหมือนหนังแก้ว ตาสีทองแดงหรือสีส้มอำพัน นิสัยขี้อ้อนเหมือนติดกาว ชอบนอนบนตักเจ้าของตลอดเวลา","ไม่ได้มาจากอินเดีย แต่ถูกพัฒนาในอเมริกาช่วงปี 1950 โดยนักผสมพันธุ์ที่อยากได้แมวบ้านที่มีลักษณะเหมือน ""เสือดำ"" (Black Panther) โดยผสมระหว่างแมวเบอร์มีสกับอเมริกันชอร์ตแฮร์สีดำ"
C0020,Cornish Rex,"""แมวขนลอน"" ขนของมันหยิกหยอยคล้ายขนแกะหรือลูกคลื่น ผิวสัมผัสนุ่มมาก หูใหญ่ หน้าแหลม รูปร่างเพรียวบางเหมือนสุนัขพันธุ์เกรย์ฮาวด์",เกิดจากการกลายพันธุ์ตามธรรมชาติในฟาร์มแห่งหนึ่งที่เมืองคอร์นวอลล์ ประเทศอังกฤษ เมื่อปี 1950 โดยลูกแมวตัวหนึ่งเกิดมามีขนหยิกผิดปกติ
C0021,Korat,"""แมวแห่งโชคลาภ"" มีขนสีสวาด (เทาเงิน) ตาสีเขียวสดใส หน้าเป็นรูปหัวใจ (Heart-shaped face) เป็นแมวที่ฉลาดและประสาทสัมผัสไวมากทั้งการได้ยินและการดมกลิ่น",เป็นแมวมงคลของไทยที่มีชื่อปรากฏในสมุดข่อยโบราณ เชื่อกันว่าเป็นแมวที่นำความสุขและสมบูรณ์มาสู่เจ้าของ ในสมัยก่อนนิยมมอบเป็นของขวัญวันแต่งงานเพื่ออวยพรให้คู่บ่าวสาว
C0022,Savannah,"""เสือดาวในบ้าน"" มีรูปร่างสูงเพรียว ขาวเรียวยาว และมีลายจุดเข้มชัดเจน เป็นหนึ่งในแมวที่ตัวใหญ่และราคาแพงที่สุดในโลก นิสัยกระตือรือร้น ชอบกระโดดสูง และซื่อสัตย์เหมือนสุนัข",เป็นแมวลูกผสม (Hybrid) ระหว่าง แมวป่าเซอร์วัล (Serval) จากแอฟริกากับแมวบ้าน เริ่มเป็นที่รู้จักในช่วงปี 1980 และได้รับการรับรองสายพันธุ์อย่างเป็นทางการในเวลาต่อมา
C0023,Japanese Bobtail,"""แมวหางกระต่าย"" หางสั้นกุดและขดเป็นก้อนเหมือนหางกระรอกหรือกระต่าย ซึ่งแต่ละตัวจะมีลักษณะหางที่ไม่ซ้ำกันเลย นิสัยร่าเริง ชอบคาบของมาให้เจ้าของเล่นด้วย","เป็นต้นแบบของ ""มาเนกิเนโกะ"" (แมวกวัก) ของญี่ปุ่น มีประวัติยาวนานนับพันปีในเอเชียตะวันออก โดยเชื่อกันว่าเป็นสัญลักษณ์ของความโชคดี"
C0024,Selkirk Rex,"""แมวในชุดขนแกะ"" มีขนหยิกฟูฟ่องทั้งตัว แม้กระทั่งหนวดก็ยังหยิก! จนได้รับฉายาว่า ""Poodle Cat"" (แมวพูเดิล) มีทั้งแบบขนสั้นและขนยาว นิสัยอดทนและใจดี",เริ่มต้นจากลูกแมวที่ถูกพบในสถานสงเคราะห์สัตว์ที่รัฐมอนทานา สหรัฐอเมริกา เมื่อปี 1987 ซึ่งมันเกิดมามีขนหยิกผิดปกติ จึงถูกนำมาพัฒนาสายพันธุ์โดยผสมกับแมวเปอร์เซียและบริติชชอร์ตแฮร์
C0025,Khao Manee,"""อัญมณีสีขาว"" ขนสีขาวบริสุทธิ์นุ่มสั้น และมีจุดขายที่สำคัญคือ ""ตาสองสี"" (มักเป็นสีฟ้าข้างหนึ่ง สีเหลืองอำพันข้างหนึ่ง) เป็นแมวที่ดูสง่างามและมีเสน่ห์ลึกลับ",แมวไทยโบราณที่หายากและเคยเป็นแมวทรงเลี้ยงในราชสำนัก โดยเฉพาะในสมัยรัชกาลที่ 5 ทรงโปรดแมวพันธุ์นี้มากจนเกือบจะสูญพันธุ์ไปในช่วงหนึ่งก่อนจะมีการอนุรักษ์ไว้
C0026,Devox Rex,"""แมวเอลฟ์"" มีใบหน้าแหลม หูใหญ่กาง และดวงตาโตเหมือนตัวละครในนิยายแฟนตาซี ขนสั้นนุ่มและหยิกเป็นลอนเล็กๆ นิสัยขี้เล่นสุดๆ ชอบขี่คอเจ้าของ",ถูกพบครั้งแรกในเมืองเดวอน ประเทศอังกฤษ เมื่อปี 1960 โดยเกิดจากการกลายพันธุ์ตามธรรมชาติที่ทำให้ขนหยิกต่างจากสายพันธุ์คอร์นิชเร็กซ์
C0027,Lykoi,"""แมวมนุษย์หมาป่า"" (Werewolf Cat) ขนของมันจะขึ้นแบบหลอมแหลม สีเทาดำดูสากๆ และไม่มีขนรอบดวงตา จมูก และปาก หน้าตาดูดุเหมือนสัตว์ป่า แต่นิสัยจริงๆ อ่อนโยนและซื่อสัตย์มาก","เกิดจากการกลายพันธุ์ตามธรรมชาติของแมวบ้านขนสั้น (Domestic Shorthair) ในอเมริกาเมื่อปี 2011 ชื่อ ""Lykoi"" มาจากภาษากรีกที่แปลว่า ""หมาป่า"""
C0028,Singapura,"""จิ๋วแต่แจ๋ว"" เป็นแมวสายพันธุ์ที่ ตัวเล็กที่สุดในโลก น้ำหนักตัวเต็มที่อาจไม่ถึง 3 กิโลกรัม มีตากลมโตหูใหญ่ และขนสีน้ำตาลนวล (Sepia) นิสัยขี้เล่นและชอบอยู่ใกล้ชิดคน",ต้นกำเนิดมาจากแมวริมถนนในประเทศสิงคโปร์ ก่อนจะถูกนำไปพัฒนาสายพันธุ์ต่อในอเมริกาช่วงปี 1970 จนกลายเป็นแมวหรูหราในปัจจุบัน
C0029,Ragamuffin,"""หมีเทดดี้ในร่างแมว"" เป็นญาติสนิทกับพันธุ์ Ragdoll แต่มีสีสันและลวดลายหลากหลายกว่า ตัวใหญ่ ขนยาวหนานุ่ม และใจดีมากจนยอมให้เด็กๆ อุ้มเหมือนตุ๊กตา",พัฒนาแยกตัวออกมาจาก Ragdoll ในช่วงปี 1994 โดยกลุ่มนักบรีดที่ต้องการขยายความหลากหลายของสีขน แต่ยังคงรักษาบุคลิกที่อ่อนโยนเอาไว้
C0030,Chartreux,"""แมวยิ้มแห่งฝรั่งเศส"" มีโครงสร้างหน้าหนาทำให้ดูเหมือนยิ้มตลอดเวลา ขนสีเทาเงินหนาแน่นและกันน้ำได้ ตาสีส้มอำพันสดใส เป็นแมวที่เงียบมาก แทบไม่ร้องเลย",แมวเก่าแก่ของฝรั่งเศส มีตำนานว่ามันเคยอาศัยอยู่ในอารามกับนักบวชคาร์ทูเซียน และถูกฝึกให้เงียบเพื่อไม่ให้รบกวนการสวดมนต์
C0031,Toybob,"""แมวเด็กตลอดกาล"" เป็นแมวหางกุดที่มีขนาดตัวเล็กมาก (พอๆ กับสิงคปูร่า) แต่มีโครงสร้างที่บึกบึนเหมือนแมวตัวใหญ่ หน้าตาดูบ๊องแบ๊วเหมือนลูกแมวอยู่เสมอ",มีต้นกำเนิดจากรัสเซียในช่วงปี 1980 เกิดจากการผสมพันธุ์แมวที่มีลักษณะหางสั้นตามธรรมชาติ จนได้แมวแคระที่สุขภาพแข็งแรงและนิสัยดี
C0032,Burmilla,"""ความเงางามแห่งเงิน"" เป็นส่วนผสมที่ลงตัวระหว่างแมวเบอร์มีสและเปอร์เซียชินชิลล่า ทำให้ได้แมวที่มีรูปร่างดีและมีขนสีเงินประกาย สวยงามเหมือนใส่เครื่องประดับ",เกิดขึ้นโดยความบังเอิญในอังกฤษปี 1981 เมื่อแมวสองสายพันธุ์แอบผสมพันธุ์กันเองในบ้านหลังหนึ่ง ผลออกมาเป็นลูกแมวที่สวยจนเจ้าของตัดสินใจทำเป็นสายพันธุ์ใหม่
C0033,Peterbald,"""นายแบบหุ่นเพรียว"" เป็นแมวไร้ขนที่มีรูปร่างสง่างามแบบตะวันออก (หน้าแหลม หูใหญ่ ตัวยาว) ผิวหนังมีสัมผัสเหมือนยางลบหรือกำมะหยี่ ความเจ๋งคือเขามี ""พังผืด"" ที่นิ้วเท้าทำให้หยิบจับของได้เก่งเหมือนมือคน",พัฒนาขึ้นในเมืองเซนต์ปีเตอร์สเบิร์ก ประเทศรัสเซีย เมื่อปี 1994 โดยการผสมข้ามสายพันธุ์ระหว่างแมวพันธุ์ Don Sphynx กับ Oriental Shorthair
C0034,LaPerm,"""แมวหัวฟู"" มีขนหยิกเป็นลอนคล้ายโดนดัดดิจิทัลมาทั้งตัว ขนจะมีความนุ่มและยืดหยุ่นสูงมาก นิสัยขี้อ้อนสุดๆ ชอบเอาหน้ามาซุกและส่งเสียงคราง (Purr) ดังกว่าแมวทั่วไป","เกิดจากการกลายพันธุ์ตามธรรมชาติในฟาร์มที่รัฐโอเรกอน สหรัฐอเมริกา เมื่อปี 1982 โดยลูกแมวตัวหนึ่งเกิดมา ""หัวล้าน"" แต่พอโตขึ้นกลับมีขนหยิกพริ้วสวยงามออกมาแทน"
C0035,Ocicat,"""เสือดาวจำลอง"" เป็นแมวที่มีลายจุดเหมือนแมวป่าแบบ 100% แต่ไม่มีสายเลือดสัตว์ป่าผสมอยู่เลย ร่างกายบึกบึน แข็งแรง และที่สำคัญคือ ""ฝึกง่ายเหมือนหมา"" สามารถใส่สายจูงเดินเล่นได้",เกิดจากความบังเอิญในการผสมพันธุ์ระหว่างแมว Abyssinian และ Siamese ในช่วงปี 1964 เพื่อพยายามสร้างแมวแต้มลายใหม่ แต่ดันได้ลูกแมวลายจุดทองอร่ามออกมาแทน
C0036,Donskoy,"""เอเลี่ยนผู้ใจดี"" เป็นแมวไร้ขนจากรัสเซียที่ต่างจาก Sphynx ตรงที่ยีนไร้ขนของมันเป็น ""ยีนเด่น"" ผิวหนังยับย่นมากและอุ่นจัด นิสัยเป็นมิตรอย่างเหลือเชื่อ เข้ากับคนแปลกหน้าได้ทันที",ถูกพบครั้งแรกในปี 1987 ที่เมือง Rostov-on-Don ประเทศรัสเซีย โดยหญิงคนหนึ่งช่วยลูกแมวที่โดนทำร้ายมา แล้วพบว่าพอมันโตขึ้นขนก็ร่วงจนหมดเกลี้ยง
C0037,Havana Brown,"""ช็อกโกแลตเดินได้"" เป็นแมวสายพันธุ์เดียวในโลกที่มีสีน้ำตาลช็อกโกแลตเข้มทั่วทั้งตัว รวมถึงหนวดก็เป็นสีน้ำตาล! มีดวงตาสีเขียวมรกตที่ตัดกับสีขนอย่างสวยงาม","ถูกพัฒนาขึ้นในอังกฤษช่วงปี 1950 โดยนักผสมพันธุ์ที่หลงใหลในแมวสีน้ำตาลล้วน ชื่อ ""Havana"" มาจากสีของซิการ์ฮาวานาที่มีสีน้ำตาลโทนเดียวกัน"
C0038,Snowshoe,"""หน้ากากขาวเท้าปุย"" รูปร่างหน้าตาเหมือนแมววิเชียรมาศ แต่มีจุดต่างคือมี ""ถุงเท้าสีขาว"" ทั้ง 4 ข้าง และมีแถบสีขาวรูปตัว V คว่ำบนใบหน้า นิสัยช่างพูดและชอบเล่นน้ำมาก",พัฒนาขึ้นในฟิลาเดลเฟียช่วงปี 1960 เมื่อแมววิเชียรมาศตัวหนึ่งให้กำเนิดลูกแมวที่มีเท้าสีขาว 3 ตัว นักบรีดจึงนำลักษณะนี้มาพัฒนาจนกลายเป็นสายพันธุ์ใหม่
C0039,Manx,"""แมวไม่มีหาง"" (หรือหางสั้นกุดเป็นปุ่ม) ขาหลังยาวกว่าขาหน้าทำให้เวลาเดินหรือวิ่งจะดูเหมือนกระต่ายกระโดด นิสัยเหมือนสุนัข ชอบขุดดินและคาบของ",เป็นแมวพื้นเมืองบนเกาะแมน (Isle of Man) ในทะเลไอริช เกิดจากการกลายพันธุ์ทางพันธุกรรมที่จำกัดอยู่ในพื้นที่เกาะจนกลายเป็นลักษณะประจำสายพันธุ์ มีตำนานเล่าตลกๆ ว่ามันขึ้นเรือโนอาห์ไม่ทันจนโดนประตูหนีบหางขาด
C0040,Nebelung,"""แมวในม่านหมอก"" มีรูปร่างหน้าตาเหมือน Russian Blue แต่เป็นเวอร์ชันขนยาวสลวยสีเทาเงิน ตาสีเขียวสดใส นิสัยสุภาพ ขี้อาย และรักความสงบมาก","ชื่อ Nebelung มาจากภาษาเยอรมันที่แปลว่า ""สิ่งมีชีวิตในสายหมอก"" พัฒนาขึ้นในอเมริกาช่วงปี 1980 โดยนักผสมพันธุ์ต้องการสร้างแมวที่ดูลึกลับเหมือนแมวในยุควิกตอเรีย"
C0041,Pixie-Bob,"""แมวป่าจำลอง"" หน้าตาดูดุดันเหมือนแมวป่าบ็อบแคต (Bobcat) มีหางสั้นและมีขนที่ปลายหู และที่พิเศษคือเป็นสายพันธุ์ที่อนุญาตให้มี ""นิ้วเกิน"" (Polydactyl) ได้ (มีนิ้วเท้าได้ถึง 7 นิ้วต่อข้าง)",เริ่มต้นจากแมวในวอชิงตันช่วงปี 1980 ที่มีลักษณะเหมือนแมวป่ามากจนคนเชื่อว่าเป็นลูกผสม (แต่ผลตรวจ DNA พบว่าเป็นแมวบ้านที่มีลักษณะเด่นเฉยๆ)
C0042,Burmilla,"""ประกายสีเงิน"" เป็นแมวที่มีขนสองชั้นสีขาวเงิน แต่ที่ปลายขนจะมีสีเข้มแต้มอยู่ (Tipping) ทำให้เวลาขยับตัวจะดูเหมือนมีแสงระยิบระยับ นิสัยขี้เล่นแต่ไม่ซนจนเกินไป",เกิดจากความรักโดยบังเอิญในอังกฤษปี 1981 ระหว่างแมวเบอร์มีสสีม่วงอ่อนกับแมวเปอร์เซียสีเงินที่รอการผสมพันธุ์ แต่แอบมาเจอกันก่อนจนได้ลูกออกมาสวยสะดุดตา
C0043,Balinese,"""วิเชียรมาศขนยาว"" มีลักษณะสีแต้มและตาสีฟ้าเหมือนแมวไทยวิเชียรมาศทุกประการ แต่ขนยาวนุ่มสลวยและหางเป็นพวงสวยงาม สง่างามเหมือนนักเต้นระบำบาหลี",ไม่ได้มาจากเกาะบาหลี แต่พัฒนาในอเมริกาจากการคัดเลือกแมววิเชียรมาศที่มีการกลายพันธุ์ขนยาว (Recessive Gene) มาผสมพันธุ์ต่อ
C0044,Serengeti,"""ขาเรียวยาวหูใหญ่โต"" เป็นแมวที่ตั้งใจเลียนแบบรูปลักษณ์ของแมวป่าเซอร์วัล (Serval) แต่ไม่มีเลือดแมวป่าเลย (ต่างจากซาวันนาห์) นิสัยบ้าพลัง ชอบวิ่งกระโดด และชอบส่งเสียงคุย",เกิดจากการผสมข้ามสายพันธุ์ระหว่างแมวเบงกอลและแมวโอเรียนทัล เพื่อให้ได้แมวที่มีลุคแมวป่าแอฟริกาแต่มีนิสัยเชื่องและเลี้ยงง่ายแบบแมวบ้าน 100%